id,ImpressionID,User,CandidateNews,ClickedNews
88,29,194,"[6, 6, 7]","[9, 6, 7]"
89,69,363,"[6, 6, 4]","[9, 4, 10]"
90,5,749,"[4, 11, 9]","[4, 5, 11]"
91,51,495,"[6, 3, 5]","[2, 1, 10]"
92,20,704,"[2, 5, 11]","[1, 5, 8]"
93,64,548,"[1, 7, 10]","[6, 10, 9]"
94,100,125,"[5, 9, 9]","[7, 9, 9]"
95,4,487,"[6, 11, 4]","[8, 10, 7]"
96,90,997,"[6, 3, 11]","[7, 3, 7]"
97,65,923,"[9, 10, 7]","[2, 8, 7]"
98,12,190,"[3, 10, 4]","[9, 9, 3]"
99,3,796,"[5, 6, 2]","[8, 7, 7]"
100,92,973,"[7, 3, 7]","[7, 4, 4]"
101,10,80,"[7, 11, 10]","[1, 5, 8]"
102,63,997,"[6, 6, 7]","[6, 11, 11]"
103,27,221,"[4, 3, 5]","[3, 2, 3]"
104,96,610,"[2, 4, 2]","[10, 10, 6]"
105,88,599,"[5, 6, 3]","[5, 3, 3]"
106,15,234,"[1, 5, 8]","[11, 11, 4]"
107,90,572,"[2, 2, 1]","[8, 1, 7]"
108,6,667,"[11, 1, 2]","[11, 3, 10]"
109,92,16,"[8, 7, 9]","[6, 7, 7]"
110,49,945,"[4, 5, 6]","[3, 3, 3]"
111,12,699,"[3, 2, 3]","[4, 9, 9]"
112,15,988,"[2, 2, 7]","[9, 4, 2]"
113,92,273,"[2, 3, 4]","[6, 4, 5]"
114,32,204,"[5, 1, 1]","[8, 5, 8]"
115,3,419,"[4, 11, 1]","[6, 3, 10]"
116,51,363,"[7, 6, 9]","[10, 7, 4]"
117,80,922,"[2, 1, 6]","[10, 10, 1]"
118,18,186,"[2, 6, 11]","[4, 9, 2]"
119,75,501,"[9, 11, 3]","[7, 2, 7]"
120,2,946,"[11, 8, 8]","[4, 8, 3]"
121,36,484,"[10, 5, 6]","[4, 3, 4]"
122,95,848,"[5, 9, 10]","[4, 1, 10]"
123,69,994,"[1, 3, 3]","[8, 7, 5]"
124,33,986,"[3, 5, 8]","[3, 11, 4]"
125,49,171,"[10, 10, 5]","[4, 5, 5]"
126,95,447,"[4, 5, 1]","[4, 2, 9]"
127,40,364,"[5, 11, 3]","[5, 6, 10]"
128,57,330,"[8, 8, 9]","[8, 11, 10]"
129,71,103,"[1, 9, 1]","[11, 10, 1]"
130,31,364,"[4, 1, 1]","[4, 6, 1]"
131,44,551,"[5, 4, 2]","[9, 4, 2]"
132,37,449,"[11, 4, 2]","[10, 11, 2]"
133,91,899,"[10, 8, 1]","[4, 3, 4]"
134,84,339,"[7, 1, 6]","[10, 11, 6]"
135,89,803,"[4, 7, 4]","[1, 3, 11]"
136,18,535,"[10, 1, 3]","[2, 1, 3]"
137,19,268,"[11, 2, 2]","[8, 9, 1]"
138,35,994,"[9, 5, 1]","[4, 9, 6]"
139,49,328,"[4, 3, 8]","[8, 3, 10]"
140,53,378,"[11, 8, 2]","[7, 7, 3]"
141,60,577,"[6, 7, 9]","[3, 3, 8]"
142,4,850,"[1, 3, 9]","[8, 8, 7]"
143,22,831,"[2, 6, 3]","[3, 7, 1]"
144,60,316,"[2, 1, 5]","[10, 10, 7]"
145,87,246,"[4, 9, 7]","[4, 6, 4]"
146,90,433,"[1, 6, 7]","[2, 4, 2]"
147,58,905,"[3, 6, 9]","[4, 4, 3]"
148,89,968,"[7, 4, 3]","[3, 8, 3]"
149,23,890,"[8, 11, 11]","[2, 10, 1]"
150,80,25,"[11, 7, 3]","[7, 8, 2]"
151,1,969,"[8, 2, 9]","[5, 11, 9]"
152,33,427,"[3, 6, 8]","[3, 6, 11]"
153,69,441,"[11, 6, 7]","[3, 8, 4]"
154,11,251,"[10, 1, 3]","[4, 6, 11]"
155,6,451,"[5, 6, 9]","[7, 1, 6]"
156,58,690,"[7, 8, 3]","[7, 1, 7]"
157,42,247,"[5, 10, 9]","[7, 11, 6]"
158,77,459,"[6, 3, 5]","[11, 5, 8]"
159,50,464,"[3, 3, 9]","[3, 4, 1]"
160,6,590,"[6, 11, 10]","[5, 10, 5]"
161,100,347,"[8, 7, 1]","[11, 9, 9]"
162,82,507,"[6, 9, 1]","[2, 4, 3]"
163,78,30,"[5, 1, 2]","[3, 6, 1]"
164,87,158,"[6, 5, 8]","[2, 10, 4]"
165,89,989,"[5, 4, 4]","[8, 9, 10]"
166,50,252,"[9, 4, 6]","[1, 4, 9]"
167,78,429,"[1, 11, 9]","[9, 7, 4]"
168,83,741,"[2, 10, 8]","[9, 7, 11]"
169,76,951,"[11, 4, 10]","[7, 9, 3]"
170,97,751,"[6, 7, 4]","[7, 8, 10]"
171,8,376,"[3, 8, 4]","[10, 8, 11]"
172,67,921,"[6, 9, 8]","[7, 4, 7]"
173,23,947,"[7, 2, 1]","[5, 9, 9]"
174,6,52,"[4, 7, 4]","[8, 11, 1]"
175,59,228,"[11, 8, 4]","[5, 7, 11]"
176,28,760,"[3, 8, 2]","[2, 11, 1]"
177,31,604,"[9, 11, 11]","[8, 8, 11]"
178,32,574,"[5, 11, 1]","[11, 4, 8]"
179,56,154,"[2, 5, 8]","[2, 8, 8]"
180,76,814,"[11, 5, 1]","[2, 5, 5]"
181,51,373,"[2, 4, 3]","[4, 10, 7]"
182,67,830,"[8, 4, 2]","[8, 4, 2]"
183,37,446,"[5, 11, 10]","[2, 4, 1]"
184,78,171,"[11, 7, 10]","[5, 3, 11]"
185,36,671,"[7, 5, 10]","[10, 4, 2]"
186,36,205,"[8, 7, 5]","[1, 1, 2]"
187,7,117,"[4, 6, 5]","[5, 5, 8]"
188,11,602,"[11, 7, 8]","[3, 4, 2]"
189,96,760,"[9, 6, 2]","[8, 2, 6]"
190,45,933,"[6, 5, 4]","[9, 9, 9]"
191,32,442,"[11, 8, 9]","[1, 10, 4]"
192,34,424,"[5, 1, 1]","[10, 7, 7]"
193,23,876,"[3, 1, 11]","[1, 2, 7]"
194,71,589,"[1, 5, 1]","[6, 8, 2]"
195,24,794,"[7, 3, 4]","[8, 8, 6]"
196,95,434,"[2, 8, 10]","[11, 2, 5]"
197,44,757,"[9, 10, 2]","[7, 4, 7]"
198,28,474,"[3, 8, 8]","[9, 8, 10]"
199,19,812,"[7, 7, 8]","[5, 7, 8]"
200,37,145,"[11, 5, 11]","[6, 6, 8]"
201,98,547,"[10, 3, 5]","[3, 1, 9]"
202,44,101,"[11, 3, 11]","[1, 3, 11]"
203,95,770,"[4, 7, 6]","[4, 4, 7]"
204,58,99,"[9, 3, 7]","[8, 7, 7]"
205,74,296,"[9, 11, 9]","[8, 6, 8]"
206,35,157,"[9, 5, 7]","[3, 2, 11]"
207,80,840,"[10, 10, 11]","[4, 11, 5]"
208,67,286,"[11, 2, 9]","[8, 6, 8]"
209,70,7,"[5, 8, 11]","[3, 6, 5]"
210,84,952,"[9, 4, 6]","[5, 1, 9]"
211,61,622,"[11, 4, 7]","[5, 2, 9]"
212,32,654,"[1, 1, 5]","[8, 2, 5]"
213,48,856,"[7, 1, 2]","[10, 5, 3]"
214,24,884,"[8, 8, 4]","[9, 7, 5]"
215,94,921,"[5, 2, 9]","[2, 10, 1]"
216,34,798,"[1, 10, 4]","[10, 1, 7]"
217,7,539,"[9, 11, 11]","[7, 4, 1]"
218,23,698,"[9, 2, 5]","[10, 9, 11]"
219,77,19,"[7, 2, 11]","[9, 11, 3]"
220,90,753,"[2, 11, 11]","[3, 2, 9]"
221,42,842,"[5, 7, 11]","[10, 10, 9]"
222,83,398,"[1, 11, 1]","[9, 11, 8]"
223,4,955,"[1, 6, 8]","[5, 8, 9]"
224,36,239,"[4, 7, 10]","[4, 1, 6]"
225,38,985,"[11, 7, 11]","[5, 6, 2]"
226,35,885,"[3, 8, 4]","[6, 3, 8]"
227,39,781,"[10, 4, 1]","[3, 1, 4]"
228,76,762,"[11, 4, 5]","[3, 5, 8]"
229,72,235,"[2, 1, 8]","[8, 11, 3]"
230,22,410,"[1, 8, 3]","[8, 1, 6]"
231,75,598,"[6, 1, 8]","[1, 7, 9]"
232,99,129,"[11, 2, 8]","[2, 1, 3]"
233,50,828,"[5, 9, 7]","[9, 6, 2]"
234,52,300,"[6, 5, 1]","[5, 7, 10]"
235,28,459,"[1, 8, 11]","[9, 5, 7]"
236,75,505,"[6, 11, 4]","[7, 6, 2]"
237,81,45,"[9, 8, 5]","[4, 10, 8]"
238,44,204,"[10, 8, 6]","[8, 7, 1]"
239,98,261,"[8, 3, 8]","[6, 10, 1]"
240,36,695,"[5, 2, 1]","[4, 1, 2]"
241,66,684,"[11, 10, 3]","[7, 11, 1]"
242,84,34,"[8, 7, 11]","[2, 3, 9]"
243,7,771,"[1, 11, 3]","[2, 10, 7]"
244,24,700,"[7, 7, 3]","[7, 10, 5]"
245,80,523,"[4, 3, 11]","[5, 3, 8]"
246,82,441,"[11, 9, 6]","[9, 9, 4]"
247,14,367,"[2, 11, 10]","[5, 9, 5]"
248,36,656,"[5, 9, 4]","[10, 6, 10]"
249,26,585,"[3, 1, 9]","[11, 9, 3]"
250,67,650,"[1, 6, 8]","[7, 1, 5]"
251,62,892,"[10, 4, 10]","[10, 5, 10]"
252,97,381,"[1, 5, 4]","[5, 9, 8]"
253,57,958,"[8, 3, 4]","[5, 6, 3]"
254,97,487,"[9, 10, 4]","[11, 4, 2]"
255,99,262,"[8, 4, 5]","[1, 6, 3]"
256,48,181,"[3, 6, 8]","[5, 3, 2]"
257,15,980,"[2, 6, 11]","[5, 10, 11]"
258,83,320,"[9, 8, 8]","[7, 3, 5]"
259,93,879,"[8, 1, 3]","[9, 7, 6]"
260,47,442,"[7, 1, 5]","[7, 5, 1]"
261,83,194,"[4, 3, 1]","[1, 2, 9]"
262,7,219,"[6, 3, 1]","[6, 6, 9]"
263,22,734,"[11, 7, 5]","[4, 11, 4]"
264,84,332,"[3, 7, 11]","[8, 3, 6]"
265,82,749,"[8, 7, 5]","[5, 1, 2]"
266,57,836,"[10, 2, 5]","[5, 2, 10]"
267,32,117,"[4, 1, 2]","[2, 3, 10]"
268,46,487,"[5, 6, 6]","[7, 8, 10]"
269,18,113,"[6, 7, 7]","[3, 4, 3]"
270,19,399,"[9, 7, 9]","[4, 6, 6]"
271,10,755,"[10, 6, 11]","[2, 6, 7]"
272,14,566,"[4, 6, 6]","[8, 2, 9]"
273,18,276,"[10, 5, 4]","[8, 11, 1]"
274,61,798,"[2, 10, 7]","[10, 2, 5]"
275,11,73,"[5, 10, 2]","[5, 10, 6]"
276,78,691,"[3, 1, 10]","[9, 8, 5]"
277,51,653,"[2, 4, 3]","[6, 6, 11]"
278,57,491,"[6, 7, 5]","[1, 8, 3]"
279,85,845,"[6, 2, 4]","[2, 10, 6]"
280,11,800,"[8, 2, 9]","[3, 2, 1]"
281,42,976,"[7, 9, 5]","[2, 6, 7]"
282,33,368,"[2, 4, 5]","[10, 7, 9]"
283,10,561,"[2, 1, 11]","[9, 5, 11]"
284,93,626,"[1, 9, 6]","[9, 11, 8]"
285,49,920,"[8, 5, 7]","[2, 4, 7]"
286,55,667,"[2, 5, 7]","[11, 7, 3]"
287,62,171,"[9, 2, 10]","[2, 3, 1]"
288,14,948,"[1, 5, 1]","[5, 11, 11]"
289,29,678,"[11, 2, 4]","[9, 6, 7]"
290,46,317,"[4, 2, 9]","[6, 9, 5]"
291,29,329,"[11, 6, 9]","[8, 1, 7]"
292,16,699,"[7, 8, 3]","[9, 7, 3]"
293,49,701,"[1, 1, 4]","[2, 9, 10]"
294,40,709,"[1, 9, 10]","[10, 6, 2]"
295,88,854,"[7, 11, 9]","[3, 7, 7]"
296,69,802,"[7, 2, 8]","[10, 8, 9]"
297,78,184,"[4, 5, 11]","[8, 3, 9]"
298,37,486,"[9, 10, 1]","[1, 7, 6]"
299,48,9,"[11, 4, 9]","[2, 10, 9]"
300,50,41,"[11, 2, 2]","[8, 6, 2]"
301,81,117,"[5, 9, 3]","[1, 3, 3]"
302,60,581,"[2, 8, 4]","[3, 10, 4]"
303,64,17,"[7, 9, 4]","[6, 9, 2]"
304,96,817,"[5, 2, 4]","[9, 6, 6]"
305,40,856,"[3, 9, 11]","[10, 9, 11]"
306,58,825,"[4, 6, 7]","[10, 2, 9]"
307,72,592,"[8, 5, 11]","[7, 5, 5]"
308,71,745,"[5, 2, 11]","[11, 11, 3]"
309,56,489,"[6, 3, 8]","[11, 7, 6]"
310,53,591,"[11, 6, 1]","[2, 3, 4]"
311,13,496,"[3, 9, 4]","[1, 8, 5]"
312,39,437,"[8, 5, 2]","[2, 9, 3]"
313,58,750,"[8, 10, 11]","[7, 3, 11]"
314,42,535,"[2, 3, 3]","[9, 1, 2]"
315,57,548,"[3, 10, 5]","[5, 7, 1]"
316,89,913,"[6, 8, 11]","[5, 6, 9]"
317,74,301,"[7, 8, 10]","[6, 7, 3]"
318,17,603,"[10, 10, 11]","[10, 10, 3]"
319,98,661,"[4, 4, 9]","[2, 10, 5]"
320,25,543,"[10, 3, 11]","[11, 4, 3]"
321,47,395,"[5, 5, 5]","[6, 1, 2]"
322,67,876,"[3, 4, 1]","[3, 6, 1]"
323,83,232,"[10, 3, 10]","[8, 9, 7]"
324,95,775,"[6, 6, 7]","[5, 4, 5]"
325,6,970,"[7, 7, 9]","[4, 9, 2]"
326,68,377,"[10, 6, 3]","[9, 10, 1]"
327,6,550,"[6, 7, 4]","[3, 9, 6]"
328,39,910,"[9, 11, 7]","[7, 11, 9]"
329,12,628,"[3, 8, 10]","[2, 5, 5]"
330,34,919,"[6, 9, 4]","[8, 4, 8]"
331,19,259,"[7, 8, 5]","[3, 8, 2]"
332,95,893,"[11, 4, 4]","[11, 2, 1]"
333,20,557,"[10, 10, 9]","[5, 1, 3]"
334,33,441,"[11, 9, 3]","[7, 5, 1]"
335,59,500,"[4, 10, 1]","[8, 10, 10]"
336,94,596,"[3, 10, 11]","[10, 2, 8]"
337,84,750,"[6, 3, 6]","[5, 8, 7]"
338,92,915,"[4, 2, 8]","[2, 11, 1]"
339,95,852,"[8, 7, 11]","[11, 11, 3]"
340,98,793,"[4, 1, 6]","[1, 6, 4]"
341,38,899,"[2, 10, 7]","[5, 1, 11]"
342,47,596,"[8, 3, 5]","[9, 1, 3]"
343,31,427,"[5, 8, 5]","[10, 2, 11]"
344,49,246,"[8, 8, 4]","[5, 10, 9]"
345,33,713,"[4, 2, 10]","[5, 11, 8]"
346,21,86,"[9, 5, 11]","[5, 9, 1]"
347,26,949,"[11, 2, 1]","[4, 10, 5]"
348,4,373,"[3, 5, 10]","[7, 2, 4]"
349,17,992,"[5, 10, 7]","[2, 2, 1]"
350,64,973,"[2, 1, 2]","[4, 8, 5]"
351,49,231,"[8, 4, 5]","[9, 8, 3]"
352,39,649,"[2, 6, 3]","[3, 9, 2]"
353,68,63,"[8, 9, 2]","[7, 6, 9]"
354,24,30,"[8, 4, 11]","[4, 4, 7]"
355,16,940,"[11, 4, 11]","[1, 3, 6]"
356,98,927,"[4, 7, 2]","[4, 6, 1]"
357,61,416,"[5, 9, 8]","[4, 7, 8]"
358,39,284,"[1, 10, 7]","[5, 5, 10]"
359,54,964,"[11, 5, 2]","[8, 1, 10]"
360,9,647,"[2, 4, 5]","[3, 3, 1]"
361,77,143,"[10, 10, 6]","[6, 6, 3]"
362,66,738,"[2, 3, 2]","[2, 10, 4]"
363,2,485,"[5, 11, 1]","[5, 1, 3]"
364,5,662,"[11, 11, 7]","[7, 1, 4]"
365,78,286,"[11, 1, 5]","[3, 6, 3]"
366,32,23,"[1, 5, 5]","[5, 9, 8]"
367,11,327,"[11, 9, 7]","[7, 2, 5]"
368,41,683,"[4, 10, 6]","[10, 9, 4]"
369,70,362,"[6, 4, 6]","[7, 5, 7]"
370,49,231,"[6, 7, 4]","[7, 7, 7]"
371,97,726,"[7, 1, 4]","[1, 8, 5]"
372,85,928,"[4, 11, 5]","[9, 3, 7]"
373,95,501,"[1, 3, 10]","[1, 1, 4]"
374,100,718,"[4, 6, 4]","[5, 10, 10]"
375,99,800,"[11, 1, 6]","[7, 8, 8]"
376,26,494,"[5, 3, 3]","[5, 4, 9]"
377,29,333,"[4, 10, 6]","[3, 11, 10]"
378,90,454,"[8, 7, 5]","[2, 3, 2]"
379,5,393,"[9, 11, 5]","[10, 5, 7]"
380,76,112,"[2, 7, 4]","[11, 8, 2]"
381,4,422,"[9, 11, 5]","[9, 1, 8]"
382,84,755,"[2, 9, 11]","[2, 5, 2]"
383,94,467,"[3, 8, 11]","[11, 1, 9]"
384,35,169,"[11, 10, 10]","[10, 7, 11]"
385,49,752,"[1, 10, 3]","[4, 6, 11]"
386,5,760,"[1, 2, 1]","[5, 8, 1]"
387,91,1,"[8, 11, 2]","[6, 11, 7]"
388,84,320,"[10, 10, 11]","[5, 10, 8]"
389,21,584,"[7, 8, 5]","[4, 2, 7]"
390,65,361,"[1, 11, 11]","[7, 8, 10]"
391,51,675,"[1, 1, 4]","[11, 10, 6]"
392,15,873,"[1, 7, 2]","[9, 10, 6]"
393,14,648,"[11, 6, 3]","[5, 2, 2]"
394,89,422,"[5, 11, 8]","[5, 3, 8]"
395,42,52,"[9, 3, 10]","[2, 9, 5]"
396,8,173,"[4, 6, 8]","[10, 10, 6]"
397,40,570,"[6, 3, 11]","[4, 4, 11]"
398,75,187,"[2, 9, 9]","[5, 1, 11]"
399,81,593,"[11, 2, 1]","[1, 5, 7]"
400,40,157,"[11, 5, 10]","[6, 7, 11]"
401,43,167,"[11, 3, 11]","[2, 3, 10]"
402,97,316,"[6, 2, 1]","[1, 4, 5]"
403,10,499,"[1, 2, 5]","[9, 1, 8]"
404,72,366,"[10, 2, 7]","[8, 5, 3]"
405,68,61,"[5, 8, 1]","[5, 11, 4]"
406,87,87,"[5, 2, 5]","[8, 5, 6]"
407,75,772,"[9, 8, 10]","[6, 2, 9]"
408,27,924,"[6, 8, 7]","[6, 6, 10]"
409,74,472,"[10, 7, 1]","[8, 3, 2]"
410,74,783,"[4, 2, 1]","[1, 8, 7]"
411,99,591,"[8, 10, 10]","[4, 7, 3]"
412,33,106,"[10, 6, 5]","[10, 3, 7]"
413,36,185,"[6, 4, 2]","[2, 7, 1]"
414,21,762,"[8, 11, 7]","[10, 7, 3]"
415,29,809,"[8, 10, 2]","[7, 6, 1]"
416,52,684,"[6, 2, 7]","[7, 10, 4]"
417,27,802,"[7, 11, 8]","[7, 3, 7]"
418,62,3,"[3, 3, 5]","[7, 2, 6]"
419,45,101,"[11, 5, 3]","[4, 4, 2]"
420,53,659,"[1, 9, 8]","[3, 10, 8]"
421,79,754,"[4, 5, 2]","[7, 2, 4]"
422,99,444,"[9, 7, 8]","[6, 10, 2]"
423,79,314,"[8, 11, 7]","[1, 7, 1]"
424,8,140,"[3, 4, 11]","[11, 4, 7]"
425,25,894,"[6, 4, 3]","[5, 6, 9]"
426,34,610,"[2, 1, 2]","[9, 1, 4]"
427,5,219,"[1, 5, 7]","[5, 9, 9]"
428,5,801,"[9, 4, 1]","[6, 3, 8]"
429,73,397,"[7, 11, 9]","[1, 10, 6]"
430,64,1000,"[4, 3, 6]","[4, 6, 7]"
431,40,100,"[7, 8, 7]","[9, 6, 3]"
432,88,875,"[7, 9, 11]","[6, 4, 2]"
433,89,895,"[5, 4, 11]","[3, 9, 1]"
434,84,473,"[7, 7, 3]","[6, 7, 4]"
435,98,534,"[9, 8, 1]","[9, 4, 1]"
436,75,999,"[1, 4, 10]","[11, 4, 6]"
437,8,697,"[8, 11, 2]","[1, 3, 4]"
438,15,826,"[3, 5, 1]","[11, 1, 11]"
439,33,272,"[11, 11, 11]","[2, 6, 8]"
440,34,773,"[8, 10, 6]","[5, 8, 1]"
441,74,868,"[7, 10, 2]","[11, 9, 7]"
442,27,91,"[1, 9, 11]","[3, 8, 9]"
443,66,511,"[10, 9, 10]","[3, 10, 10]"
444,1,257,"[10, 5, 3]","[5, 10, 9]"
445,30,999,"[11, 6, 8]","[6, 9, 8]"
446,38,556,"[4, 10, 4]","[9, 7, 7]"
447,74,302,"[4, 1, 10]","[4, 5, 5]"
448,41,478,"[4, 7, 4]","[8, 2, 4]"
449,8,992,"[11, 2, 2]","[5, 10, 4]"
450,85,849,"[1, 3, 6]","[6, 8, 5]"
451,84,266,"[1, 7, 9]","[6, 10, 1]"
452,13,817,"[1, 4, 8]","[1, 7, 5]"
453,14,847,"[3, 4, 3]","[8, 2, 5]"
454,76,827,"[7, 3, 2]","[11, 7, 10]"
455,71,219,"[5, 6, 8]","[2, 10, 6]"
456,20,448,"[6, 1, 4]","[10, 9, 3]"
457,17,172,"[11, 5, 6]","[2, 2, 1]"
458,70,633,"[10, 3, 5]","[1, 11, 6]"
459,85,5,"[9, 4, 4]","[7, 7, 7]"
460,83,473,"[8, 11, 6]","[8, 5, 7]"
461,32,927,"[7, 11, 7]","[2, 7, 5]"
462,91,422,"[5, 5, 3]","[3, 4, 7]"
463,30,691,"[4, 3, 8]","[8, 1, 3]"
464,23,833,"[9, 5, 11]","[10, 6, 10]"
465,67,611,"[7, 11, 2]","[9, 9, 6]"
466,63,5,"[3, 7, 10]","[10, 3, 10]"
467,66,855,"[11, 5, 7]","[11, 3, 7]"
468,25,292,"[7, 4, 7]","[9, 10, 8]"
469,95,214,"[5, 9, 7]","[4, 9, 5]"
470,11,553,"[7, 1, 4]","[4, 7, 9]"
471,99,422,"[3, 10, 7]","[5, 5, 4]"
472,82,576,"[6, 1, 4]","[5, 11, 4]"
473,15,145,"[3, 8, 3]","[11, 7, 9]"
474,38,867,"[9, 10, 2]","[11, 7, 5]"
475,88,502,"[8, 6, 10]","[9, 1, 10]"
476,27,516,"[10, 5, 1]","[6, 8, 8]"
477,91,13,"[9, 2, 11]","[8, 8, 11]"
478,96,739,"[2, 2, 4]","[4, 3, 11]"
479,56,563,"[2, 5, 11]","[10, 1, 1]"
480,78,916,"[6, 6, 7]","[9, 10, 3]"
481,3,702,"[8, 4, 9]","[10, 6, 11]"
482,49,105,"[9, 2, 7]","[11, 4, 3]"
483,77,701,"[5, 4, 6]","[8, 11, 1]"
484,4,823,"[11, 4, 2]","[2, 10, 4]"
485,18,8,"[11, 9, 10]","[10, 1, 1]"
486,98,765,"[7, 5, 10]","[7, 1, 8]"
487,29,786,"[4, 6, 3]","[11, 7, 10]"
488,6,715,"[3, 10, 9]","[11, 1, 10]"
489,17,917,"[8, 7, 1]","[7, 8, 1]"
490,47,858,"[10, 5, 9]","[11, 6, 11]"
491,90,918,"[4, 10, 9]","[6, 6, 9]"
492,59,58,"[10, 2, 11]","[11, 2, 6]"
493,51,179,"[8, 7, 2]","[9, 1, 4]"
494,21,205,"[5, 11, 2]","[5, 8, 6]"
495,73,746,"[6, 1, 7]","[2, 6, 1]"
496,12,469,"[10, 11, 2]","[10, 2, 3]"
497,13,199,"[3, 3, 1]","[5, 3, 9]"
